Timestamp;Electrical Conductivity;Temperature;Volumetric Water Content
2025-07-11 06:08:30;15634;22.26;66.71
2025-07-11 06:13:29;16993;22.26;66.72
2025-07-11 06:18:29;15540;22.26;66.72
2025-07-11 06:23:29;16120;22.26;66.74
2025-07-11 06:28:29;16389;22.25;66.72
2025-07-11 06:33:29;15701;22.25;66.73
2025-07-11 06:38:29;15710;22.26;66.74
2025-07-11 06:43:29;17051;22.26;66.75
2025-07-11 06:48:29;16776;22.25;66.76
2025-07-11 06:53:29;16021;22.25;66.75
2025-07-11 06:58:29;15052;22.26;66.75
2025-07-11 07:03:29;16768;22.26;66.76
2025-07-11 07:08:29;15399;22.26;66.76
2025-07-11 07:13:29;16159;22.26;66.74
2025-07-11 07:18:29;17733;22.26;66.75
2025-07-11 07:23:29;16250;22.25;66.77
2025-07-11 07:28:29;16945;22.26;66.76
2025-07-11 07:33:29;16168;22.26;66.77
2025-07-11 07:38:29;15901;22.26;66.8
2025-07-11 07:43:28;16059;22.26;66.78
2025-07-11 07:48:28;16214;22.26;66.78
2025-07-11 07:53:28;16563;22.26;66.8
2025-07-11 07:58:28;16124;22.26;66.8
2025-07-11 08:03:28;15747;22.26;66.81
2025-07-11 08:08:28;17413;22.26;66.82
2025-07-11 08:13:28;15992;22.26;66.83
2025-07-11 08:18:28;16893;22.26;66.84
2025-07-11 08:23:28;16054;22.26;66.82
2025-07-11 08:28:28;15439;22.26;66.84
2025-07-11 08:33:28;15997;22.26;66.83
2025-07-11 08:38:28;16078;22.26;66.82
2025-07-11 08:43:28;17081;22.25;66.84
2025-07-11 08:48:28;16112;22.26;66.84
2025-07-11 08:53:28;16911;22.26;66.85
2025-07-11 08:58:28;15768;22.26;66.87
2025-07-11 09:03:28;16601;22.26;66.86
2025-07-11 09:08:28;16982;22.26;66.86
2025-07-11 09:13:27;17057;22.26;66.86
2025-07-11 09:18:27;17262;22.26;66.91
2025-07-11 09:23:27;16766;22.26;66.87
2025-07-11 09:28:27;16349;22.26;66.9
2025-07-11 09:33:27;16418;22.26;66.91
2025-07-11 09:38:27;16282;22.26;66.88
2025-07-11 09:43:27;16327;22.26;66.9
2025-07-11 09:48:27;16931;22.26;66.86
2025-07-11 09:53:27;15911;22.26;66.89
2025-07-11 09:58:27;17283;22.26;66.91
2025-07-11 10:03:27;16898;22.26;66.93
2025-07-11 10:08:27;16243;22.26;66.9
2025-07-11 10:13:27;16288;22.26;66.93
2025-07-11 10:18:27;16416;22.26;66.91
2025-07-11 10:23:27;15863;22.26;66.91
2025-07-11 10:28:27;17004;22.26;66.93
2025-07-11 10:33:27;16399;22.26;66.93
2025-07-11 10:38:27;15402;22.26;66.95
2025-07-11 10:43:26;16203;22.26;66.95
2025-07-11 10:48:26;16057;22.26;66.94
2025-07-11 10:53:26;17698;22.26;66.93
2025-07-11 10:58:26;17215;22.26;66.96
2025-07-11 11:03:26;17925;22.26;66.95
