Timestamp;Depth;Electrical Conductivity;Temperature
2025-07-11 06:13:32;492;11292;25.9
2025-07-11 06:18:32;490;11132;25.8
2025-07-11 06:23:32;486;11900;25.9
2025-07-11 06:28:32;487;11598;26
2025-07-11 06:33:32;482;11743;26
2025-07-11 06:38:31;479;11586;26
2025-07-11 06:43:31;479;11492;26
2025-07-11 06:48:31;483;11343;26
2025-07-11 06:53:31;483;11475;26
2025-07-11 06:58:31;477;11474;26
2025-07-11 07:03:31;471;11449;26
2025-07-11 07:08:31;471;11647;26
2025-07-11 07:13:31;470;11542;26.1
2025-07-11 07:18:31;476;11577;26.1
2025-07-11 07:23:31;476;11587;26.2
2025-07-11 07:28:31;479;11527;26.2
2025-07-11 07:33:31;482;11660;26.2
2025-07-11 07:38:31;474;11732;26.2
2025-07-11 07:43:31;480;11932;26.2
2025-07-11 07:48:31;477;11828;26.2
2025-07-11 07:53:31;485;11916;26.2
2025-07-11 07:58:31;490;12153;26.3
2025-07-11 08:03:31;497;12335;26.4
2025-07-11 08:08:31;503;12407;26.5
2025-07-11 08:13:30;501;12468;26.5
2025-07-11 08:18:30;503;12498;26.5
2025-07-11 08:23:30;505;12496;26.6
2025-07-11 08:28:30;507;12456;26.6
2025-07-11 08:33:30;504;12420;26.6
2025-07-11 08:38:30;512;12433;26.6
2025-07-11 08:43:30;512;12436;26.6
2025-07-11 08:48:30;518;12367;26.6
2025-07-11 08:53:30;526;12345;26.6
2025-07-11 08:58:30;528;12301;26.6
2025-07-11 09:03:30;533;12308;26.6
2025-07-11 09:08:30;533;11918;26.6
2025-07-11 09:13:30;529;11896;26.4
2025-07-11 09:18:30;526;11613;26.3
2025-07-11 09:23:30;538;11508;26.2
2025-07-11 09:28:30;540;11446;26.2
2025-07-11 09:33:30;539;11381;26.2
2025-07-11 09:38:30;537;11421;26.2
2025-07-11 09:43:30;540;11193;26.1
2025-07-11 09:48:29;536;11187;26.1
2025-07-11 09:53:29;535;11286;26.1
2025-07-11 09:58:29;530;11231;26.1
2025-07-11 10:03:29;532;11231;26.2
2025-07-11 10:08:29;529;11244;26.2
2025-07-11 10:13:29;521;11385;26.2
2025-07-11 10:18:29;518;11241;26.2
2025-07-11 10:23:29;517;11165;26.2
2025-07-11 10:28:29;516;11162;26.2
2025-07-11 10:33:29;510;11335;26.3
2025-07-11 10:38:29;513;11223;26.3
2025-07-11 10:43:29;513;11176;26.3
2025-07-11 10:48:29;515;11193;26.3
2025-07-11 10:53:29;509;11283;26.4
2025-07-11 10:58:29;502;11366;26.4
2025-07-11 11:03:29;502;11256;26.4
2025-07-11 11:08:29;506;11187;26.4
