Timestamp;Electrical Conductivity;Temperature;Volumetric Water Content
2025-07-11 06:10:32;50;23.32;31.37
2025-07-11 06:15:32;50;23.32;31.37
2025-07-11 06:20:32;50;23.32;31.38
2025-07-11 06:25:32;50;23.32;31.37
2025-07-11 06:30:32;50;23.32;31.37
2025-07-11 06:35:32;50;23.32;31.38
2025-07-11 06:40:32;51;23.32;31.38
2025-07-11 06:45:32;51;23.32;31.38
2025-07-11 06:50:32;51;23.32;31.39
2025-07-11 06:55:32;51;23.32;31.38
2025-07-11 07:00:32;51;23.32;31.38
2025-07-11 07:05:32;51;23.32;31.38
2025-07-11 07:10:32;51;23.32;31.38
2025-07-11 07:15:32;51;23.32;31.38
2025-07-11 07:20:32;51;23.32;31.37
2025-07-11 07:25:32;51;23.32;31.38
2025-07-11 07:30:31;51;23.32;31.38
2025-07-11 07:35:31;51;23.31;31.38
2025-07-11 07:45:31;51;23.31;31.38
2025-07-11 07:50:31;51;23.31;31.38
2025-07-11 07:55:31;51;23.3;31.38
2025-07-11 08:00:31;51;23.3;31.38
2025-07-11 08:05:31;51;23.3;31.38
2025-07-11 08:10:31;51;23.3;31.38
2025-07-11 08:15:31;51;23.29;31.38
2025-07-11 08:20:31;51;23.29;31.38
2025-07-11 08:25:31;51;23.29;31.37
2025-07-11 08:30:31;52;23.28;31.38
2025-07-11 08:35:31;52;23.28;31.38
2025-07-11 08:40:31;51;23.28;31.38
2025-07-11 08:45:31;52;23.27;31.38
2025-07-11 08:50:31;52;23.27;31.39
2025-07-11 08:55:31;52;23.26;31.38
2025-07-11 09:00:30;52;23.26;31.38
2025-07-11 09:05:30;52;23.26;31.39
2025-07-11 09:10:30;52;23.25;31.38
2025-07-11 09:15:30;52;23.25;31.38
2025-07-11 09:20:30;52;23.25;31.39
2025-07-11 09:25:30;52;23.25;31.38
2025-07-11 09:30:30;52;23.24;31.38
2025-07-11 09:35:30;52;23.24;31.38
2025-07-11 09:40:30;52;23.23;31.38
2025-07-11 09:45:30;52;23.23;31.38
2025-07-11 09:50:30;52;23.23;31.39
2025-07-11 09:55:30;52;23.23;31.39
2025-07-11 10:00:30;52;23.23;31.38
2025-07-11 10:05:30;53;23.22;31.39
2025-07-11 10:10:30;53;23.22;31.38
2025-07-11 10:15:30;53;23.22;31.38
2025-07-11 10:20:30;53;23.22;31.37
2025-07-11 10:25:30;53;23.22;31.37
2025-07-11 10:30:29;53;23.22;31.37
2025-07-11 10:35:29;53;23.22;31.37
2025-07-11 10:40:29;53;23.22;31.37
2025-07-11 10:45:29;53;23.22;31.37
2025-07-11 10:50:29;53;23.22;31.37
2025-07-11 10:55:29;53;23.22;31.37
2025-07-11 11:00:29;53;23.22;31.36
2025-07-11 11:05:29;53;23.22;31.36
